iter	Passed	Remaining
196	1515	2331
197	1523	2324
198	1532	2317
199	1539	2308
200	1545	2298
201	1553	2291
202	1560	2282
203	1567	2274
204	1574	2266
205	1581	2257
206	1587	2247
207	1595	2239
208	1600	2228
209	1608	2220
210	1616	2213
211	1623	2205
212	1631	2198
213	1637	2188
214	1644	2179
215	1649	2169
216	1656	2160
217	1663	2152
218	1670	2143
219	1676	2133
220	1682	2123
221	1688	2114
222	1695	2105
223	1700	2095
224	1706	2085
225	1716	2080
226	1724	2073
227	1731	2065
228	1738	2057
229	1746	2049
230	1752	2041
231	1758	2031
232	1765	2022
233	1772	2015
234	1779	2006
235	1786	1998
236	1794	1991
237	1805	1987
238	1814	1981
239	1821	1973
240	1828	1964
241	1835	1957
242	1843	1949
243	1850	1941
244	1858	1934
245	1864	1925
246	1872	1918
247	1879	1910
248	1887	1902
249	1896	1896
250	1903	1888
251	1911	1881
252	1919	1873
253	1926	1866
254	1934	1858
255	1941	1850
256	1947	1841
257	1953	1832
258	1961	1825
259	1968	1817
260	1975	1809
261	1982	1801
262	1990	1793
263	1999	1787
264	2006	1779
265	2013	1770
266	2020	1763
267	2028	1755
268	2035	1747
269	2043	1740
270	2051	1733
271	2058	1725
272	2067	1719
273	2076	1712
274	2083	1704
275	2094	1700
276	2101	1691
277	2109	1684
278	2118	1677
279	2125	1670
280	2133	1663
281	2140	1654
282	2147	1646
283	2154	1638
284	2162	1631
285	2171	1624
286	2178	1617
287	2188	1611
288	2198	1604
289	2205	1597
290	2215	1591
291	2223	1583
292	2230	1576
293	2237	1567
294	2243	1559
295	2251	1551
296	2256	1542
297	2262	1533
298	2268	1524
299	2273	1515
300	2282	1508
301	2289	1501
302	2296	1493
303	2304	1485
304	2311	1478
305	2318	1470
306	2324	1461
307	2330	1452
308	2338	1445
309	2345	1437
310	2352	1429
311	2357	1420
312	2363	1411
313	2368	1403
314	2376	1395
315	2384	1388
316	2391	1380
317	2398	1372
318	2405	1365
319	2411	1356
320	2418	1348
321	2426	1341
322	2433	1333
323	2440	1325
324	2448	1318
325	2457	1311
326	2463	1303
327	2471	1296
328	2479	1288
329	2488	1281
330	2495	1274
331	2501	1265
332	2511	1259
333	2519	1252
334	2526	1244
335	2532	1236
336	2540	1228
337	2548	1221
338	2554	1213
339	2561	1205
340	2568	1197
341	2574	1189
342	2582	1181
343	2588	1173
344	2595	1166
345	2604	1159
346	2610	1151
347	2617	1143
348	2623	1135
349	2631	1127
350	2638	1120
351	2646	1112
352	2655	1105
353	2662	1098
354	2669	1090
355	2676	1082
356	2683	1074
357	2692	1067
358	2701	1060
359	2709	1053
360	2716	1045
361	2722	1037
362	2729	1030
363	2738	1023
364	2745	1015
365	2752	1007
366	2760	1000
367	2768	993
368	2776	985
369	2783	977
370	2792	970
371	2800	963
372	2807	955
373	2814	948
374	2820	940
375	2828	932
376	2836	925
377	2843	917
378	2850	909
379	2857	902
380	2863	894
381	2870	886
382	2879	879
383	2887	872
384	2896	865
385	2905	858
386	2912	850
387	2918	842
388	2926	834
389	2932	826
390	2939	819
391	2946	811
392	2954	804
393	2962	797
394	2969	789
395	2979	782
396	2988	775
397	2995	767
398	3003	760
399	3010	752
400	3016	744
401	3022	736
402	3030	729
403	3036	721
404	3044	714
405	3052	706
406	3058	698
407	3066	691
408	3076	684
409	3084	677
410	3090	669
411	3098	661
412	3105	654
413	3112	646
414	3119	638
415	3127	631
416	3134	623
417	3141	616
418	3147	608
419	3154	600
420	3161	593
421	3167	585
422	3172	577
423	3180	570
424	3188	562
425	3194	554
426	3202	547
427	3210	540
428	3216	532
429	3224	524
430	3229	517
431	3237	509
432	3244	502
433	3252	494
434	3258	486
435	3266	479
436	3274	472
437	3282	464
438	3289	457
439	3296	449
440	3303	441
441	3312	434
442	3320	427
443	3326	419
444	3332	411
445	3341	404
446	3347	396
447	3354	389
448	3362	381
449	3370	374
450	3377	366
451	3385	359
452	3392	351
453	3399	344
454	3407	337
455	3415	329
456	3421	321
457	3427	314
458	3435	306
459	3442	299
460	3450	291
461	3460	284
462	3467	277
463	3475	269
464	3484	262
465	3495	255
466	3504	247
467	3514	240
468	3521	232
469	3528	225
470	3535	217
471	3543	210
472	3551	202
473	3559	195
474	3567	187
475	3576	180
476	3583	172
477	3590	165
478	3596	157
479	3603	150
480	3609	142
481	3620	135
482	3626	127
483	3633	120
484	3641	112
485	3650	105
486	3657	97
487	3664	90
488	3672	82
489	3679	75
490	3687	67
491	3694	60
492	3703	52
493	3710	45
494	3717	37
495	3724	30
496	3730	22
497	3738	15
498	3745	7
499	3752	0
